#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
240000,480.0000000015638,-121.0692138671875,67.99070739746094,-53.07850646972656,320.6824509691577
250000,500.0000000016593,-103.44338989257812,52.826290130615234,-50.61709976196289,249.15852243840826
260000,520.0000000015274,-114.8970947265625,102.34040832519531,-12.556686401367188,482.6949774629587
270000,540.0000000010544,-119.74139404296875,72.43126678466797,-47.31012725830078,341.626628820392
280000,560.0000000005815,-101.03762817382812,74.53990936279297,-26.497718811035156,351.5721742640963
290000,580.0000000001086,-120.298583984375,85.50053405761719,-34.79804992675781,403.2686505302127
300000,599.9999999996356,-121.1385498046875,50.14474868774414,-70.99380111694336,236.51086343924058
310000,619.9999999991627,-100.27728271484375,59.37016296386719,-40.90711975097656,280.0231105464603
320000,639.9999999986898,-110.943359375,74.03279113769531,-36.91056823730469,349.18031923595584
330000,659.9999999982168,-136.6505126953125,71.79212951660156,-64.85838317871094,338.61209766643435
340000,679.9999999977439,-109.23092651367188,72.99966430664062,-36.23126220703125,344.30751150933713
350000,699.999999997271,-101.15573120117188,60.347042083740234,-40.80868911743164,284.63062240289946
360000,719.999999996798,-138.28677368164062,73.66554260253906,-64.62123107910156,347.4481684042212
370000,739.9999999963251,-115.7703857421875,70.7572250366211,-45.013160705566406,333.7309055467669
380000,759.9999999958521,-111.76473999023438,86.38067626953125,-25.384063720703125,407.4198966713664
390000,779.9999999953792,-116.93911743164062,53.482635498046875,-63.45648193359375,252.2542166761489
400000,799.9999999949063,-124.96322631835938,65.06649017333984,-59.89673614501953,306.8901963730186
410000,819.9999999944333,-85.38137817382812,73.15115356445312,-12.230224609375,345.0220201289758
420000,839.9999999939604,-119.65951538085938,49.30324935913086,-70.35626602172852,232.5418788894683
430000,859.9999999934874,-125.29336547851562,76.5203857421875,-48.772979736328125,360.9132157643423
440000,879.9999999930145,-109.88458251953125,69.82945251464844,-40.05513000488281,329.3550080502344
450000,899.9999999925416,-107.245361328125,47.07865905761719,-60.16670227050781,222.04945871032098
460000,919.9999999920686,-123.15621948242188,82.82270050048828,-40.333518981933594,390.63848000753296
470000,939.9999999915957,-119.93072509765625,81.68860626220703,-38.24211883544922,385.28945314955365
480000,959.9999999911228,-109.62936401367188,66.7012710571289,-42.92809295654297,314.600743309181
490000,979.9999999906498,-95.05496215820312,83.44827270507812,-11.606689453125,393.5890306857797
500000,999.9999999901769,-117.39166259765625,56.896141052246094,-60.495521545410156,268.35423047830443
510000,1019.999999989704,-104.32305908203125,51.35733413696289,-52.96572494506836,242.23009903406725
520000,1039.9999999892311,-131.80673217773438,102.44178771972656,-29.364944458007812,483.17313975837357
530000,1059.9999999887582,-123.3673095703125,60.381927490234375,-62.985382080078125,284.79516161841605
540000,1079.9999999882853,-114.91339111328125,76.7503662109375,-38.16302490234375,361.99793312082824
550000,1099.9999999878123,-80.37979125976562,49.48849105834961,-30.891300201416016,233.41558302347443
560000,1119.9999999873394,-124.891845703125,58.8819465637207,-66.0098991394043,277.7204071654368
570000,1139.9999999868664,-96.36099243164062,55.594234466552734,-40.76675796508789,262.2137061211682
580000,1159.9999999863935,-117.0,44.53717041015625,-72.46282958984375,210.06236753602766
590000,1179.9999999859206,-102.62802124023438,54.34964370727539,-48.278377532958984,256.3435154669446
600000,1199.9999999854476,-103.99050903320312,81.22846984863281,-22.762039184570312,383.1191907926327
610000,1219.9999999849747,-118.87469482421875,80.87455749511719,-38.00013732910156,381.44994090102335
620000,1239.9999999845018,-108.14566040039062,64.0738754272461,-44.07178497314453,302.2084664450644
630000,1259.9999999840288,-118.85848999023438,60.89390563964844,-57.96458435058594,287.20993878549234
640000,1279.9999999835559,-100.68862915039062,60.01847839355469,-40.67015075683594,283.0809310774036
650000,1299.999999983083,-84.38027954101562,72.89726257324219,-11.483016967773438,343.8245272883063
660000,1319.99999998261,-119.78878784179688,60.908050537109375,-58.8807373046875,287.27665408468704
670000,1339.999999982137,-125.74887084960938,50.090003967285156,-75.65886688232422,236.2526565194069
680000,1359.9999999816641,-101.31600952148438,41.252559661865234,-60.06344985961914,194.57029419894488
690000,1379.9999999811912,-120.62283325195312,61.21196365356445,-59.41086959838867,288.71007942760576
